work_order_id;equipment_id;equipment_type;fabricante;modelo;prioridade;tipo_manutencao;status;data_abertura;data_inicio;data_fim;tempo_reparo_min;causa_raiz;componente_afetado;severidade_falha;tempo_parada_h;horas_planejadas_em_aberto;equipe_capacidade_h_dia;tempo_disponivel_h;tempo_operado_h;local;turno;custo_estimado;responsavel;observacoes
WO0239;T009;Trator;Case IH;Cas-T173;Média;Preventiva;Concluída;2023-12-13 14:15;2023-12-14 01:39;2023-12-15 19:21;2502;Manutenção programada;Sistema hidráulico;3;4,1;32,8;10;8,2;4,1;Fazenda A;Tarde;8754;Catarina Câmara;
WO0240;H001;Colhedora de cana;Case IH;Cas-500;Baixa;Preditiva;Em Andamento;2026-02-07 14:52;2026-02-08 07:52;;1654;Desgaste de peças;Ferramentas de corte;1;5,5;13,8;9;8,8;3,3;Armazém;Manhã;6657;Benjamim Santos;Reprehenderit natus harum laborum nostrum ab perferendis. Quas quod amet eum laborum facere. Hic praesentium nulla soluta.
WO0241;T010;Trator;Case IH;Cas-T77;Alta;Preventiva;Aberta;2024-11-04 16:13;;;7089;Manutenção programada;Ferramentas de corte;4;14,6;40,5;7;18,6;4;Armazém;Noite;19047;Manuela Gomes;
WO0242;T007;Trator;John Deere;Joh-T165;Baixa;Preventiva;Aberta;2024-05-30 05:54;;;2092;Manutenção programada;Transmissão;1;17,4;38,7;14;20,4;3;Armazém;Noite;5548;Laís Silveira;"Praesentium suscipit deleniti occaecati. Deleniti at accusamus dolore cum delectus unde dignissimos.
Amet vero aperiam deleniti. Soluta quod ea illo."
WO0243;T015;Trator;Case IH;Cas-T200;Média;Preventiva;Em Andamento;2026-01-28 04:30;2026-01-28 18:36;;5803;Manutenção programada;Pneus/Rodas;3;0,2;43,2;10;19,4;19,2;Fazenda B;Tarde;6471;Luiz Fernando Montenegro;Beatae alias voluptates rem accusantium provident natus. Architecto ab veniam maiores nemo quo accusantium. Laudantium sit inventore sit aperiam expedita.
WO0244;T005;Trator;New Holland;New-T152;Alta;Preventiva;Concluída;2025-02-19 11:34;2025-02-19 14:43;2025-02-19 20:57;374;Manutenção programada;Motor;4;0,9;6,4;7;19,9;19;Fazenda A;Manhã;20826;Henrique Pimenta;
WO0245;H002;Colhedora de cana;New Holland;New-267;Alta;Preventiva;Em Andamento;2026-01-31 12:16;2026-02-01 10:21;;5192;Manutenção programada;Sistema elétrico;4;9,6;14,3;14;10;0,4;Fazenda B;Tarde;16186;Marcos Vinicius Pacheco;
WO0246;T010;Trator;Case IH;Cas-T77;Alta;Preditiva;Concluída;2024-05-29 15:08;2024-05-31 09:02;2024-06-05 02:34;6812;Condições ambientais;Ferramentas de corte;4;17,4;7,2;6;23,1;5,7;Fazenda B;Noite;10235;Caio Lima;Rem vel aspernatur ea ipsa aspernatur. Illo provident recusandae hic distinctio voluptatem. Animi atque occaecati debitis.
WO0247;T010;Trator;Case IH;Cas-T77;Alta;Preventiva;Em Andamento;2026-02-11 03:21;2026-02-11 21:34;;1576;Manutenção programada;Sistema hidráulico;5;0,9;10;14;15,9;15;Armazém;Noite;14897;Maria Laura Gonçalves;
WO0248;H005;Colhedora de cana;Case IH;Cas-206;Média;Preventiva;Concluída;2025-01-03 07:34;2025-01-05 00:10;2025-01-08 19:45;5495;Manutenção programada;Motor;3;10,2;17;9;15,8;5,6;Fazenda A;Tarde;4821;Felipe da Mota;Quis maxime modi quos neque. Quo earum optio.
WO0249;H007;Colhedora de cana;John Deere;Joh-358;Média;Preventiva;Em Andamento;2026-02-01 01:04;2026-02-01 12:40;;5673;Manutenção programada;Motor;3;6,1;16,3;7;19,8;13,7;Fazenda B;Tarde;26455;Carolina Rodrigues;
WO0250;T015;Trator;Case IH;Cas-T200;Média;Preventiva;Aberta;2025-01-12 16:25;;;2187;Manutenção programada;Ferramentas de corte;2;4;32,8;11;19,7;15,7;Fazenda B;Manhã;4921;Júlia Novais;"Voluptas accusantium minima aspernatur aperiam. Molestias eius tenetur numquam porro nesciunt sunt animi. Eveniet facilis perferendis pariatur doloribus.
Fugit nemo culpa possimus."
WO0251;T001;Trator;New Holland;New-T163;Média;Preditiva;Em Andamento;2026-01-29 20:26;2026-01-30 10:51;;2666;Erro humano;Motor;3;6,7;14,5;16;9,4;2,7;Fazenda A;Manhã;16551;Luiz Otávio Cunha;
WO0252;T007;Trator;John Deere;Joh-T165;Alta;Preditiva;Em Andamento;2026-01-27 07:19;2026-01-27 17:01;;3378;Condições ambientais;Sistema elétrico;4;11,7;36,8;6;21,7;10;Armazém;Tarde;12832;Cauê da Rocha;"Minus distinctio eum ipsa dicta unde. Nesciunt voluptates dignissimos earum suscipit tempore. Perspiciatis laborum iste ut porro perferendis nostrum.
Maiores ipsa facere. Odit sed cumque eveniet."
WO0253;H012;Colhedora de cana;Case IH;Cas-275;Alta;Preventiva;Aberta;2024-09-03 22:21;;;7519;Manutenção programada;Transmissão;5;3;9,4;10;20,1;17,1;Fazenda B;Manhã;24493;Pedro Lucas Lima;
WO0254;H014;Colhedora de cana;AGCO;AGC-449;Média;Preventiva;Aberta;2023-03-28 00:11;;;1177;Manutenção programada;Motor;3;2,1;9,9;6;8,5;6,4;Fazenda A;Tarde;8324;Caroline Cavalcante;"Totam doloribus ex necessitatibus ab id in odit. Neque vero dolor quos sit architecto eos.
Suscipit esse velit natus. Ipsa odio magnam eos praesentium."
WO0255;H012;Colhedora de cana;Case IH;Cas-275;Média;Corretiva;Concluída;2025-10-04 14:30;2025-10-05 18:32;2025-10-06 07:50;798;Sobrecarga;Ferramentas de corte;3;5,4;12,8;15;20,1;14,7;Armazém;Noite;14159;Srta. Juliana Macedo;"At dolore recusandae a ex culpa veniam iure.
Ratione dolorum voluptatibus fugit expedita beatae. Possimus adipisci quas itaque illo. Repellat neque magni nam labore labore."
WO0256;T009;Trator;Case IH;Cas-T173;Baixa;Corretiva;Em Andamento;2026-02-08 06:12;2026-02-09 05:30;;731;Desgaste de peças;Ferramentas de corte;1;3,8;4;11;11,3;7,5;Fazenda A;Manhã;9452;Pietra Cirino;"Harum deserunt fuga quos perferendis quae quo. Fugiat atque rerum ducimus distinctio quisquam.
Eveniet occaecati atque assumenda nisi debitis maiores illum. Ullam reiciendis ipsa eligendi at."
WO0257;T004;Trator;Valtra;Val-T81;Baixa;Preditiva;Em Andamento;2026-02-21 12:26;2026-02-21 23:52;;4645;Condições ambientais;Ferramentas de corte;1;2,9;4,4;16;10,1;7,2;Fazenda A;Tarde;5826;Rebeca Almeida;
WO0258;H009;Colhedora de cana;Valtra;Val-288;Alta;Corretiva;Aberta;2023-11-23 18:59;;;1931;Sobrecarga;Motor;5;14,3;7,3;15;22,8;8,5;Armazém;Tarde;31997;Júlia Fonseca;Beatae aliquid impedit officia eveniet sit autem. Occaecati facilis nostrum fugiat corrupti magni ab. Veniam ut est.
WO0259;H010;Colhedora de cana;AGCO;AGC-327;Média;Preditiva;Aberta;2024-07-21 11:52;;;9163;Erro humano;Transmissão;3;6,4;43,6;13;9,7;3,3;Fazenda A;Tarde;8291;Esther Cirino;
WO0260;T006;Trator;New Holland;New-T150;Alta;Corretiva;Concluída;2024-04-27 07:37;2024-04-27 18:42;2024-04-28 07:40;778;Condições ambientais;Sistema hidráulico;4;13,5;30,3;10;22,4;8,9;Fazenda A;Noite;22249;Calebe Novais;"Dicta est blanditiis laborum consequatur alias corrupti. Velit sit error explicabo repellat quos. Commodi doloremque porro ipsum similique.
Repellendus ipsum nulla quibusdam. Aspernatur at porro."
WO0261;H002;Colhedora de cana;New Holland;New-267;Alta;Preditiva;Em Andamento;2026-01-27 03:26;2026-01-27 11:41;;3592;Falha mecânica;Sistema hidráulico;4;7,4;22,2;11;13,1;5,7;Fazenda A;Tarde;3104;Maria Clara da Mata;
WO0262;H001;Colhedora de cana;Case IH;Cas-500;Alta;Preventiva;Aberta;2023-11-22 19:18;;;1954;Manutenção programada;Ferramentas de corte;5;11,7;37,6;6;20,2;8,5;Fazenda A;Noite;13223;Cecilia Aragão;
WO0263;H003;Colhedora de cana;Valtra;Val-478;Média;Corretiva;Concluída;2023-05-31 16:33;2023-06-02 05:00;2023-06-08 11:20;9020;Falha mecânica;Sistema elétrico;2;5,9;42,9;14;17,7;11,8;Fazenda B;Manhã;5260;Srta. Rafaela Pires;
WO0264;H002;Colhedora de cana;New Holland;New-267;Média;Preditiva;Concluída;2024-02-05 15:13;2024-02-06 21:38;2024-02-11 18:31;7013;Erro humano;Ferramentas de corte;3;4,4;9,3;16;15,9;11,5;Fazenda A;Noite;9282;Rafael Fogaça;Praesentium dolorum quo pariatur totam totam dolore hic. Quod officia nulla fugiat est esse facere. Tempore amet fuga necessitatibus dolorum.
WO0265;T008;Trator;Case IH;Cas-T163;Alta;Corretiva;Em Andamento;2026-01-30 21:44;2026-01-31 04:09;;1008;Desgaste de peças;Motor;5;18,7;19,6;13;22,7;4;Fazenda B;Noite;19451;Dr. João Miguel Silveira;
WO0266;H011;Colhedora de cana;Valtra;Val-331;Alta;Corretiva;Em Andamento;2026-02-09 07:34;2026-02-09 14:29;;2556;Falha mecânica;Sistema elétrico;5;9,7;36,1;8;11,1;1,4;Armazém;Noite;30303;Pietro Marques;"Nostrum sint voluptas nisi reiciendis facere. Saepe autem mollitia explicabo voluptates quo.
Voluptate quibusdam corrupti facere pariatur quas doloribus qui. Repellat rerum commodi tempora unde."
WO0267;H007;Colhedora de cana;John Deere;Joh-358;Alta;Preditiva;Concluída;2025-07-17 13:46;2025-07-18 12:42;2025-07-24 04:01;8119;Erro humano;Ferramentas de corte;4;18,8;42,3;14;20,7;1,9;Armazém;Noite;17697;Stella Nunes;"Commodi iure sequi voluptatibus iure id.
Reiciendis esse nobis non a. Doloribus illo adipisci quisquam asperiores natus. Repudiandae eos consequuntur dolores at tempora quasi."
WO0268;T008;Trator;Case IH;Cas-T163;Baixa;Preditiva;Em Andamento;2026-01-29 03:17;2026-01-29 18:53;;3908;Falha mecânica;Sistema hidráulico;1;4,5;6,9;11;12,6;8,1;Fazenda A;Noite;6792;José Caldeira;
WO0269;H009;Colhedora de cana;Valtra;Val-288;Média;Corretiva;Concluída;2024-03-24 15:48;2024-03-26 11:37;2024-03-27 14:30;1613;Falha mecânica;Sistema elétrico;2;2,8;28,8;16;15,5;12,7;Fazenda A;Noite;12472;Miguel Lopes;
WO0270;T008;Trator;Case IH;Cas-T163;Alta;Preventiva;Em Andamento;2026-02-02 11:03;2026-02-02 22:45;;6314;Manutenção programada;Sistema hidráulico;4;5,2;1,5;13;21,5;16,3;Fazenda B;Noite;13715;Luana Alves;Incidunt error et deserunt at eveniet. Rerum aspernatur at laborum exercitationem atque debitis fugiat. In placeat in dolore.
WO0271;H012;Colhedora de cana;Case IH;Cas-275;Baixa;Preventiva;Aberta;2023-01-06 00:23;;;2294;Manutenção programada;Transmissão;1;6,1;15;13;16;9,9;Armazém;Tarde;4420;João Gabriel das Neves;
WO0272;H010;Colhedora de cana;AGCO;AGC-327;Alta;Preventiva;Em Andamento;2026-02-10 12:04;2026-02-10 14:04;;3409;Manutenção programada;Motor;5;12,5;46,2;13;22;9,5;Fazenda B;Tarde;4401;Agatha da Mota;
WO0273;H006;Colhedora de cana;Valtra;Val-290;Média;Preditiva;Concluída;2024-06-01 17:19;2024-06-02 03:43;2024-06-08 15:47;9364;Erro humano;Transmissão;3;8,5;46,9;7;14,1;5,6;Fazenda B;Noite;29807;Catarina Albuquerque;
WO0274;T004;Trator;Valtra;Val-T81;Alta;Corretiva;Aberta;2026-02-22 11:16;;;1707;Falha mecânica;Transmissão;5;9;17,3;11;12;3;Fazenda B;Tarde;49336;Gabrielly Câmara;"Reiciendis ipsa commodi fugit tempora pariatur. Iure facere magnam nobis corporis.
Illo a ullam veniam ex. Atque sed impedit at dolore aperiam distinctio.
Unde doloremque voluptates debitis saepe."
WO0275;H015;Colhedora de cana;Case IH;Cas-360;Média;Corretiva;Em Andamento;2026-02-13 13:01;2026-02-14 05:59;;2241;Falha mecânica;Sistema elétrico;3;8,8;39,4;6;17,7;8,9;Armazém;Tarde;13996;Josué Brito;
WO0276;T012;Trator;John Deere;Joh-T122;Baixa;Preventiva;Concluída;2023-03-30 17:59;2023-04-01 08:21;2023-04-08 01:57;9696;Manutenção programada;Sistema hidráulico;1;3,9;44,6;15;9,6;5,7;Armazém;Noite;9750;Maria Helena Viana;
WO0277;H004;Colhedora de cana;Valtra;Val-228;Alta;Corretiva;Concluída;2025-08-02 05:31;2025-08-03 18:20;2025-08-08 04:59;6399;Condições ambientais;Sistema hidráulico;4;0,8;15,9;7;10,6;9,8;Fazenda A;Tarde;12896;Yasmin Aparecida;"A non velit non. Possimus vitae atque distinctio. Autem veniam porro natus necessitatibus hic dicta.
Soluta error sint explicabo in incidunt error. Pariatur cumque quis consectetur quas soluta."
WO0278;H006;Colhedora de cana;Valtra;Val-290;Alta;Preditiva;Aberta;2023-02-18 21:22;;;2685;Falha mecânica;Sistema elétrico;5;2,6;29,9;13;8,5;5,9;Fazenda A;Noite;7900;Noah Mendonça;Pariatur nobis quisquam recusandae sint. Modi dolores quaerat dolores esse ullam maiores. Modi fugit nobis quibusdam ratione.
WO0279;T008;Trator;Case IH;Cas-T163;Alta;Preventiva;Em Andamento;2026-02-01 02:22;2026-02-01 11:45;;3139;Manutenção programada;Sistema elétrico;4;15,5;4,6;9;15,8;0,3;Fazenda A;Tarde;23160;Luna Fernandes;
WO0280;H014;Colhedora de cana;AGCO;AGC-449;Baixa;Corretiva;Concluída;2025-04-23 19:17;2025-04-24 13:37;2025-04-30 14:48;8711;Desgaste de peças;Ferramentas de corte;1;16,1;19,2;15;18,6;2,5;Fazenda B;Noite;9350;Isabela Freitas;Occaecati sapiente maiores est cupiditate nobis tenetur. Quia maiores maxime consequatur ad. Dolores accusantium libero temporibus qui dolorum esse.
WO0281;T001;Trator;New Holland;New-T163;Alta;Preventiva;Em Andamento;2026-01-29 12:43;2026-01-30 12:38;;3500;Manutenção programada;Transmissão;4;9,8;20,7;14;15;5,2;Fazenda A;Noite;32282;Marcos Vinicius Garcia;Odio laboriosam cum vel aliquam. Voluptate assumenda ullam atque eos pariatur. Quis excepturi libero dolore perferendis expedita.
WO0282;H004;Colhedora de cana;Valtra;Val-228;Média;Preventiva;Aberta;2025-01-14 17:50;;;1210;Manutenção programada;Transmissão;2;6,5;31,9;6;22,6;16,1;Armazém;Noite;2199;Liz Farias;"Rerum eaque voluptates modi deleniti qui. Explicabo natus voluptatum qui doloremque repellat explicabo.
Est laborum commodi nostrum tenetur ex eligendi. Repellat id voluptatum eveniet dolores."
WO0283;H002;Colhedora de cana;New Holland;New-267;Baixa;Preventiva;Em Andamento;2026-02-05 00:42;2026-02-05 15:38;;5325;Manutenção programada;Ferramentas de corte;1;3,3;37,3;13;15,6;12,3;Armazém;Manhã;4413;Dr. Anthony Rios;
WO0284;H011;Colhedora de cana;Valtra;Val-331;Alta;Preditiva;Em Andamento;2026-01-26 06:09;2026-01-27 03:20;;1764;Condições ambientais;Sistema elétrico;4;7,2;19,9;15;18,3;11,1;Armazém;Noite;10867;Laura Pimenta;Necessitatibus adipisci pariatur dolorem. Assumenda repellat ea assumenda laborum cum doloremque. Eos pariatur itaque temporibus.
WO0285;H006;Colhedora de cana;Valtra;Val-290;Alta;Corretiva;Concluída;2026-01-30 22:54;2026-01-31 11:12;2026-02-06 16:22;8950;Condições ambientais;Motor;5;2,7;10,6;14;8;5,3;Armazém;Manhã;12926;Stephany Rodrigues;Vel perspiciatis quasi officiis. Saepe vero repellat provident quisquam. Animi deserunt quidem nostrum necessitatibus. A ipsum quisquam impedit.
WO0286;T011;Trator;Case IH;Cas-T147;Baixa;Preditiva;Em Andamento;2026-02-15 19:37;2026-02-16 08:10;;5726;Condições ambientais;Sistema elétrico;1;7,9;25,2;9;8,9;1;Armazém;Noite;9742;Lívia Pereira;Rerum et veniam eum quos neque reprehenderit eaque.
WO0287;T006;Trator;New Holland;New-T150;Alta;Preventiva;Em Andamento;2026-02-12 13:00;2026-02-12 20:31;;5711;Manutenção programada;Motor;4;1,6;39,2;15;8,6;7;Fazenda A;Manhã;20241;Julia Pacheco;
WO0288;H012;Colhedora de cana;Case IH;Cas-275;Alta;Corretiva;Em Andamento;2026-02-17 23:10;2026-02-18 12:29;;1419;Desgaste de peças;Motor;5;7,2;38,1;13;19,5;12,3;Fazenda A;Manhã;32038;Maya Martins;"Exercitationem harum laborum praesentium.
Voluptates maiores labore odio animi cupiditate. Molestias rem temporibus recusandae autem. Porro nisi aliquid modi."
WO0289;T013;Trator;Valtra;Val-T107;Média;Corretiva;Em Andamento;2026-02-18 15:50;2026-02-19 01:46;;4516;Erro humano;Sistema hidráulico;3;20;13,4;16;20,3;0,3;Fazenda A;Manhã;14605;Dra. Maria Júlia Lima;Perferendis provident sunt accusamus cum repellendus a quidem. Ipsum quia natus dolor quidem molestias officia. Facilis minus hic eaque ad.
WO0290;T011;Trator;Case IH;Cas-T147;Média;Preventiva;Aberta;2024-02-10 01:48;;;404;Manutenção programada;Sistema elétrico;3;3,7;8,9;7;14;10,3;Fazenda B;Tarde;14388;Erick da Mata;Cumque voluptatem nesciunt repellat aspernatur. Autem voluptas voluptas quis maxime perspiciatis. Saepe molestiae est ducimus.
WO0291;T001;Trator;New Holland;New-T163;Alta;Preventiva;Concluída;2024-09-18 02:03;2024-09-18 07:00;2024-09-21 02:34;4054;Manutenção programada;Sistema hidráulico;4;11;25,2;13;11,4;0,4;Fazenda A;Manhã;11383;Augusto Fernandes;
WO0292;T001;Trator;New Holland;New-T163;Baixa;Corretiva;Em Andamento;2026-02-03 02:00;2026-02-03 03:35;;660;Condições ambientais;Sistema hidráulico;1;4,6;43;14;16,4;11,8;Fazenda A;Tarde;2306;Cauã Cassiano;
WO0293;T011;Trator;Case IH;Cas-T147;Média;Corretiva;Em Andamento;2026-01-26 18:05;2026-01-27 01:22;;3364;Desgaste de peças;Ferramentas de corte;3;6,3;4;6;13,4;7,1;Armazém;Noite;24422;Alice Ramos;Modi fugit repellendus sunt beatae tenetur dolor illo. Repellat explicabo ducimus asperiores tempora et harum. Ipsum natus repellat dignissimos totam voluptates vitae.
WO0294;T007;Trator;John Deere;Joh-T165;Média;Preditiva;Concluída;2025-01-01 12:17;2025-01-02 09:04;2025-01-05 21:00;5036;Condições ambientais;Pneus/Rodas;2;20,7;17,9;6;21,8;1,1;Fazenda B;Manhã;15359;Srta. Emanuelly Pastor;
WO0295;H005;Colhedora de cana;Case IH;Cas-206;Alta;Corretiva;Concluída;2024-05-20 17:43;2024-05-21 01:20;2024-05-23 02:07;2927;Erro humano;Sistema elétrico;4;2,4;31,3;16;9;6,6;Armazém;Manhã;31113;Sra. Hadassa da Conceição;
WO0296;H014;Colhedora de cana;AGCO;AGC-449;Baixa;Corretiva;Aberta;2023-09-05 22:10;;;7913;Desgaste de peças;Transmissão;1;6;15,7;8;8,1;2,1;Fazenda A;Noite;1234;Emanuelly Pimenta;
WO0297;H006;Colhedora de cana;Valtra;Val-290;Baixa;Preditiva;Em Andamento;2026-02-02 19:46;2026-02-03 04:08;;5337;Desgaste de peças;Ferramentas de corte;1;11,4;21,8;13;14,4;3;Fazenda A;Noite;2947;Bárbara Alves;
WO0298;H002;Colhedora de cana;New Holland;New-267;Baixa;Preventiva;Aberta;2025-05-09 13:32;;;6554;Manutenção programada;Motor;1;9,9;41,6;12;12,2;2,3;Armazém;Tarde;5897;Sr. Davi Miguel Silva;Consequuntur sunt quam rem facilis.
WO0299;H001;Colhedora de cana;Case IH;Cas-500;Alta;Preventiva;Concluída;2024-08-17 05:04;2024-08-18 14:32;2024-08-24 15:21;8689;Manutenção programada;Pneus/Rodas;5;14,6;0,2;13;16,1;1,5;Armazém;Manhã;6631;Olivia Andrade;
WO0300;T007;Trator;John Deere;Joh-T165;Baixa;Preditiva;Em Andamento;2026-02-08 00:03;2026-02-08 23:30;;4532;Erro humano;Sistema hidráulico;1;22,1;26,3;13;22,9;0,8;Fazenda A;Noite;998;Ana Julia Pacheco;
WO0301;T012;Trator;John Deere;Joh-T122;Alta;Preventiva;Aberta;2024-06-30 23:21;;;8434;Manutenção programada;Motor;4;8,9;47,4;15;23,1;14,2;Armazém;Noite;3978;Théo Fernandes;Distinctio explicabo ratione quaerat quasi quidem dicta. Eveniet ratione officia tenetur. Pariatur temporibus et quae nesciunt praesentium facere molestiae.
WO0302;T012;Trator;John Deere;Joh-T122;Baixa;Preditiva;Aberta;2025-03-23 08:35;;;1722;Sobrecarga;Ferramentas de corte;1;13,8;7;13;15,8;2;Armazém;Manhã;8578;Aylla Pastor;
WO0303;H001;Colhedora de cana;Case IH;Cas-500;Baixa;Corretiva;Em Andamento;2026-02-18 10:44;2026-02-18 13:43;;1502;Falha mecânica;Transmissão;1;7,6;47,6;14;21,2;13,6;Fazenda B;Tarde;4434;Maria Júlia Farias;
WO0304;T006;Trator;New Holland;New-T150;Baixa;Preventiva;Em Andamento;2026-02-04 07:19;2026-02-05 04:07;;3829;Manutenção programada;Ferramentas de corte;1;8,8;22,5;15;23;14,2;Fazenda A;Noite;3973;Sr. Luiz Felipe Costela;Doloremque pariatur molestias praesentium ratione. Ut vero natus.
WO0305;H003;Colhedora de cana;Valtra;Val-478;Alta;Corretiva;Concluída;2025-09-15 14:29;2025-09-15 22:10;2025-09-16 18:40;1230;Desgaste de peças;Motor;5;9;43;12;12,2;3,2;Fazenda A;Noite;34811;Nicolas Mendes;
WO0306;H002;Colhedora de cana;New Holland;New-267;Baixa;Corretiva;Em Andamento;2026-02-02 03:25;2026-02-03 01:54;;5507;Falha mecânica;Sistema elétrico;1;3,3;45,1;11;20,2;16,9;Armazém;Manhã;6112;Benício Duarte;
WO0307;H011;Colhedora de cana;Valtra;Val-331;Alta;Corretiva;Concluída;2023-12-20 16:27;2023-12-22 14:46;2023-12-27 19:15;7469;Sobrecarga;Sistema elétrico;5;8,5;47,1;11;13,6;5,1;Fazenda B;Noite;43778;Sra. Maria Júlia Azevedo;
WO0308;T005;Trator;New Holland;New-T152;Alta;Preventiva;Aberta;2024-12-17 09:04;;;9393;Manutenção programada;Motor;5;0,9;44,8;15;12,6;11,7;Fazenda A;Tarde;6889;Levi Pastor;
WO0309;T001;Trator;New Holland;New-T163;Baixa;Corretiva;Aberta;2024-11-08 19:52;;;7572;Sobrecarga;Motor;1;6,8;44,2;7;16;9,2;Fazenda A;Manhã;1456;Matteo Pastor;
WO0310;H006;Colhedora de cana;Valtra;Val-290;Alta;Corretiva;Concluída;2024-12-14 10:03;2024-12-15 00:12;2024-12-16 18:25;2533;Falha mecânica;Pneus/Rodas;4;14,1;34,4;11;20,2;6,1;Fazenda A;Tarde;17513;Vitor Gabriel Rios;
WO0311;T013;Trator;Valtra;Val-T107;Baixa;Corretiva;Concluída;2025-10-27 22:39;2025-10-27 23:11;2025-10-29 23:01;2870;Sobrecarga;Sistema hidráulico;1;4,6;35;10;21,7;17,1;Fazenda B;Noite;1446;Rodrigo Silveira;
WO0312;T015;Trator;Case IH;Cas-T200;Média;Corretiva;Concluída;2024-02-14 05:52;2024-02-15 10:10;2024-02-18 10:18;4328;Desgaste de peças;Motor;3;2,7;20,3;11;23,7;21;Fazenda B;Tarde;28334;Maya Costa;"Ut minima doloribus atque quae repellat. Fugit alias quaerat aliquam dolores. Asperiores non ut pariatur quibusdam veniam.
Porro possimus saepe architecto qui natus. Magnam facere doloribus quae."
WO0313;T015;Trator;Case IH;Cas-T200;Média;Preditiva;Em Andamento;2026-02-24 02:21;2026-02-24 18:25;;4664;Falha mecânica;Motor;2;7,1;14,4;6;12;4,9;Fazenda A;Manhã;6440;Bianca Macedo;Fugiat rerum illum ipsam facilis a. Cum accusamus magni cupiditate. Nemo dignissimos soluta necessitatibus impedit aut voluptatum dicta.
WO0314;H011;Colhedora de cana;Valtra;Val-331;Média;Preditiva;Em Andamento;2026-02-12 21:44;2026-02-12 23:09;;4698;Sobrecarga;Ferramentas de corte;2;8,3;49,6;14;20,7;12,4;Armazém;Noite;11249;Dr. Caio Pimenta;
WO0315;T001;Trator;New Holland;New-T163;Média;Preventiva;Concluída;2025-06-19 17:56;2025-06-21 06:00;2025-06-22 08:35;1595;Manutenção programada;Ferramentas de corte;2;10,6;17,2;6;22,2;11,6;Armazém;Manhã;15138;Amanda Vasconcelos;
WO0316;T010;Trator;Case IH;Cas-T77;Alta;Corretiva;Em Andamento;2026-02-05 21:12;2026-02-06 11:17;;3013;Desgaste de peças;Pneus/Rodas;5;12,2;16,9;9;20,4;8,2;Fazenda B;Noite;16014;Mateus Cassiano;"Magnam doloremque quisquam suscipit repellendus. Aut distinctio recusandae placeat deserunt ab. Neque deserunt culpa.
Distinctio repellendus nobis. Fugiat eaque dolore. Ullam aliquam nisi."
WO0317;H013;Colhedora de cana;AGCO;AGC-457;Média;Corretiva;Concluída;2024-12-27 19:55;2024-12-28 04:05;2025-01-02 04:17;7212;Erro humano;Sistema elétrico;2;13;17,4;13;13,2;0,2;Fazenda B;Tarde;12960;Dra. Manuella Câmara;
WO0318;T012;Trator;John Deere;Joh-T122;Baixa;Preditiva;Concluída;2025-03-26 14:47;2025-03-27 03:11;2025-03-30 18:56;5265;Erro humano;Sistema hidráulico;1;3,7;38,8;15;16,4;12,7;Armazém;Noite;9624;Dr. Vitor Ramos;
WO0319;H014;Colhedora de cana;AGCO;AGC-449;Alta;Corretiva;Aberta;2023-07-18 11:36;;;4910;Falha mecânica;Ferramentas de corte;4;7;36,4;9;15,4;8,4;Fazenda B;Tarde;39441;Leandro Moura;Quasi natus magnam fugit explicabo corrupti. Laboriosam repudiandae culpa corrupti. Dolores dolor quo deserunt reiciendis qui saepe. Rerum incidunt numquam neque illum.
WO0320;H013;Colhedora de cana;AGCO;AGC-457;Baixa;Preventiva;Em Andamento;2026-02-09 00:15;2026-02-09 21:10;;3784;Manutenção programada;Ferramentas de corte;1;6,9;15,6;15;10;3,1;Fazenda B;Noite;8215;Mariana da Rosa;Rem mollitia reprehenderit dignissimos. Veniam dolore voluptatem at aspernatur hic modi labore. Vero minus laudantium est ad vel.
WO0321;H004;Colhedora de cana;Valtra;Val-228;Baixa;Corretiva;Em Andamento;2026-02-18 04:47;2026-02-18 05:10;;3225;Sobrecarga;Transmissão;1;12,9;9,2;13;16,4;3,5;Armazém;Manhã;642;Sr. João Gabriel Lima;Fugiat corrupti maxime numquam porro nisi. Neque officiis laboriosam tempora delectus. Modi nesciunt aspernatur sint nostrum. Rerum iure excepturi enim alias blanditiis.
WO0322;H007;Colhedora de cana;John Deere;Joh-358;Alta;Preditiva;Aberta;2025-08-31 14:11;;;9749;Condições ambientais;Ferramentas de corte;5;0,6;26,3;16;11,4;10,8;Fazenda A;Tarde;40304;João Monteiro;
WO0323;T002;Trator;Case IH;Cas-T79;Alta;Preditiva;Aberta;2023-10-13 02:03;;;5269;Condições ambientais;Sistema elétrico;5;9,6;13,9;9;10,6;1;Fazenda A;Manhã;42746;Mathias Almeida;Minima impedit laboriosam consectetur praesentium atque minus alias. Sed repudiandae accusantium numquam totam tenetur laborum aut.
WO0324;T005;Trator;New Holland;New-T152;Média;Corretiva;Concluída;2025-04-10 02:44;2025-04-11 20:46;2025-04-15 23:08;5902;Desgaste de peças;Pneus/Rodas;2;6,7;37,8;14;22,2;15,5;Fazenda B;Tarde;15467;Daniel Montenegro;"Esse harum minus adipisci.
Perspiciatis possimus ipsum commodi recusandae dolores.
Recusandae ea totam dolor ipsum cumque. Nihil maiores fuga occaecati cum fugit nobis."
